eps_a,q
0,0
0.002414875,8.193914807
0.004060311,14.18174442
0.005300879,17.87423935
0.007365788,24.36105477
0.010281001,30.44868154
0.012782150101419885,35.37200811
0.016128519269776882,40.52154158
0.020320108181203528,45.89728195
0.025364319520911817,50.58869893
0.031858514,55.54053897
0.03969309,59.34993915
0.049238891,62.54344828
0.058097814,64.5571332
0.067685914,66.02082488
0.076658746,67.08849609
0.085957268,67.95245436
0.094864999,68.5933739
0.1061669467787115,69.28403361
0.11637349560513863,69.7188641
0.1260058762062819,70.07722663
0.1344741041244084,70.36754564
0.14920935767410415,70.80665314
0.1543767410412441,70.76673428
0.16834996619337392,71.16592292
0.1759730319714093,71.22294987
0.19121730899256256,71.56511156
0.20053466101174014,71.60140144
0.20773495605138612,71.56511156
0.22312048681541585,71.89776876
0.23187288708586884,71.9643002
0.24119053414469238,71.9643002
0.2479673292765382,71.92438134
